cf_class_id,Anon Student Id,Session Id,0
c1,s341,jkz5xvg6_hynsuptva8-mz2pszw:1674837586158,72
c1,s341,q0jy5qswvxywhvyfpxu9rwrisg0:1676045630367,151
c1,s341,qu-cpj7gdykksw0asr9rn-5zfdy:1678377326863,98
c1,s341,qu-cpj7gdykksw0asr9rn-5zfdy:1678380005781,75
c1,s341,rgsugl0i24wpq43tzt3w0uc9r5e:1682089934409,269
c1,s341,sjvpadrpsv_ppaia2iep1e-fimy:1676995202119,190
c1,s341,u4xjy-vqpxklyeabbwsfuhylbbs:1676647976153,156
c1,s341,vqnyoizr_axshjxdmuxkxwle1fc:1682000470620,381
c1,s341,xbryvlp5_s0zexf_l2dob4mynkc:1675181947773,136
c1,s341,yiev_yzibf0ycjwjsfgp-0tsyd0:1675956113079,363
c1,s341,zyh83rz-wg7ctfzte-cqaiczdxm:1674574249531,296
c1,s348,1bjyinxolaoxr6mq2wfqpysbvq4:1661440678781,9
c1,s348,1bjyinxolaoxr6mq2wfqpysbvq4:1661440976506,87
c1,s348,ljoynvetl-ffzsvergzzgr-v4yk:1661355916040,35
c1,s349,0htf0aqabr_zxfdbvhffd6ww2s8:1679408483010,39
c1,s349,4m-3jhplzcqq5hmdofmm9i2byba:1679581456295,52
c1,s349,a9vjeuivfh46a9qe16eikw6imce:1680618055162,120
c1,s349,v3zqttal8dvufxe83ewmy3phfkq:1680791018985,80
c1,s356,-gouu-hfv4azn62pfcmiqnfyzba:1677166368466,50
c1,s356,cs7var6k3kia4dejojwvunl_lww:1677597078296,35
c1,s356,zaxh4ih4gdwclso77zudbshndtc:1677305178521,205
c1,s357,99wyeb1i2qmoakaje6fvkkkevr0:1668434992496,2
c1,s357,eiy2gncmb0oqbw4tur3lk2aqguw:1684851995867,200
c1,s357,gih-jp2icinqirfgsgrpcncc5l0:1679412396120,1
c1,s357,gisxiga1kguf9xbfmgdmzoehw-4:1668010616098,105
c1,s357,mhjc9qot5xcamznncv5ca9lsl7k:1677166180521,29
c1,s357,r40fub49gpg5frkolsqxmn8mbq4:1667924360057,52
c1,s357,sfnwbrgad78lpklokqgm3gqsr9y:1668018037675,107
c1,s357,vkx-28mxajheuywcpf72ifqdtss:1679586057585,16
c1,s357,vwqek8okymeymc9kc7o-fhmfth8:1680618627823,6
c1,s357,z0ukilq6goubafnoeecwlnrarwe:1679408830612,20
c1,s47,0gdkbv476rtif_ii7djkahqaury:1663943733679,164
c1,s47,3b6rasbms7dnirxwv96sgfmrbmm:1663860199888,245
c1,s47,581xxdq8dywuecpomkfityju7ug:1667316515303,114
c1,s47,9joejniof1imumzz56bl2cfrkrw:1661525909468,10
c1,s47,c_h30wbfq9fdeblluurpoyv1hgi:1663083101366,50
c1,s47,dhfwejphhjydzbmqiam_9jfzvey:1669824839262,44
c1,s47,f8ajtejsfmzfrdayjtujo8ycesy:1664896556830,115
c1,s47,g6uo-z42qlqm6cj-9xs0-nihzck:1663686990431,149
c1,s47,glcjztzv1jzwzoxnwl_v970vfga:1668094129189,93
c1,s47,hm_mvb2kymj14g5156pbkf5i_n4:1668699128760,86
c1,s47,i_8zdonrlsvafn5yngv--nqdvta:1662993828244,17
c1,s47,idszooggzkwsm2vlm_5-gfdjdbo:1666881817979,47
c1,s47,ksl9b5dxqkhbz0xrugtrmkcre08:1661355812586,8
c1,s47,miueay6ezfv5ql7im-spphblnx0:1664464589971,128
c1,s47,on8hr3uttd1yptygwk-43lmbho0:1662130156341,49
c1,s47,pemkcnsrnddxirnsi5vi3-2z7r0:1670516391970,89
c1,s47,pk_g8djqt4ebguwjpufert9slt4:1663253740077,33
c1,s47,pq-81_9yn-zmy3u02jqhnyfjm6i:1664983235899,53
c1,s47,qkro4s0ustlm_qmoy44twlljpj8:1662732700404,2
c1,s47,xfwuty8e-qeg9uxvdh_kt6hy_bg:1664462837906,76
c1,s47,yiozs_1neoc6wcfyllchuhnxofi:1662045218292,201
c1,s47,yudvb7bhjk9fsb5zdkcuvovrhjq:1662734300182,30
c1,s59,6ars1yxup-njxnbp-jbb3ja0iz0:1662045968820,48
c1,s59,kaq7zxd8edyv30uxnbpufudxh-u:1661960345679,88
c1,s59,lbglx7ptyzpekhheqxgycbebgjo:1663687015241,59
c1,s59,ms4k2ftpc8dtbr_rbpkltucggqu:1661440463491,76
c1,s59,xenlvnezav-ny1kalfmzdihi9zs:1663083438629,2
c1,s67,6d8zo00h4qy-whydonucf0ivx50:1677166045443,33
c1,s67,92c4tuqn-5mm6zybknhvbj7s4wk:1667488653559,3
c1,s67,cfn7uuatrbkxrnwgi8btjcdf8lm:1667402033638,1
c1,s67,ej_ywylv4g8zuivkrgacdnxv1li:1666797243750,118
c1,s67,lg8vkpoeiiim5uxlzmz31vvgcrc:1666970334342,40
c1,s67,lx7c55oufrtsufloa5wcfqau9ok:1667315666972,92
c1,s67,ngjqujuwxxretbo3zndj6om4aig:1669824944657,86
c1,s67,qeeiixrqlytra8n91txsjfgxvlc:1666883609290,153
c1,s67,r_qwkpb6kmk45z6q51cwwdddwme:1680048615724,211
c1,s67,xqmpy1pmgpps-rwdnckir89yblm:1668010580554,12
c1,s67,xw3gdtrvt-c0w_dvgxtxudbjdxe:1668702097959,76
c1,s67,yqrqlobrrhabjunt6aoazaydsug:1679408697877,49
c1,s74,09z4zqm_ohene12qub1-rrpyyzu:1666021113698,55
c1,s74,2gngkpen2huz7zcnsz26mfjp_em:1662050844643,37
c1,s74,2sktlwnbdchfixqmvkomcicbqvc:1662130480721,19
c1,s74,31v9jvl87g-zawogjn_o3ui9idw:1664896427213,456
c1,s74,74s3_azz9j2mlcogtyshhi7byds:1664802501641,48
